PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	Etiqueta
-6498.416965936105	1454.169581229399	-556.013320841462	-4561.883999451484	-1035.7517842707462	-1474.3656142230545	-3034.609260526116	-1783.9859514702562	-413.21654734769425	-3408.2590950644644	-1111.2222485678762	204.22208455485506	-184.3171452301649	-608.5782204394884	208.82221983672702	360.3241214346925	-224.07640937235183	438.74760739178134	277.29441544244526	477.5209571556816	-325.65558848803886	-438.2788399489987	495.43032795774496	-330.8281926174676	445.83820150309316	-1037.8162578661754	-21.754703394745924	-816.4781033615096	157.12013780463195	-729.188338604855	807.7385483589127	-1759.551984574175	61.351705669007224	196.72383670034262	891.639977464511	201.35533522582094	138.56911696919357	-538.7825774197119	-311.6941022130052	431.6918311510261	84.95688226071913	-405.3533277912273	731.0106262379654	-501.2960753870961	168.681970384559	-61.26387120668308	-292.9825792415099	319.6748431053707	-34.001839704076076	260.6594084953182	Federico
-4451.959118742987	-74.84229690298929	-160.91508374942697	-4405.612181203977	-1561.3860791844834	-1188.8699787277044	-513.0412459223065	-2641.7728265031533	-776.1743881978902	-1953.5693058562367	-1439.0456620272735	-1144.8185858176882	-341.15573421927485	-364.045971183611	-1085.4308682089277	102.27974613869672	861.4145692165478	111.01901560573678	-674.5677730807222	-641.9387851425589	39.90937921624298	106.20816000609175	-1097.1215165622195	-1631.141579014166	-196.84450781710223	202.13980618708487	-1506.7643653264165	239.7272743083922	881.8505150891971	1204.164629213248	384.4326356048774	195.57762572400532	972.6367757272725	237.43586771954574	-660.7718665852319	-120.34442753670149	-311.69318334503566	-317.0199626626387	856.8577938209376	104.16702960294529	24.037985780196482	446.8411843313817	60.573617834523596	314.72287973234086	870.1327995622106	351.9131423083684	739.7361027640987	-743.5626476494563	263.8951145268631	1.072334993610781	Federico
-7838.698683582742	1239.1468111587424	-107.03790496122565	-3219.058754878647	-1408.5006066527992	580.5948467989392	-2428.6632117721942	-2703.7077384802114	992.553417152181	-1336.7631086379936	-1689.4003987685662	831.4308393414683	959.4118873253668	104.40065335812565	-524.2534434200675	-286.17484722523227	-302.3574099120405	501.3541905492347	-246.16044984921763	643.0843444504636	-630.5213516320138	-870.2398526488736	1069.196002495887	-392.85831801965674	311.713923525314	-1671.4736859795646	158.93164088510662	291.14881644082004	-262.4052454288185	-533.6485474258592	-1080.0866050211412	-705.7896494781405	96.73664585178238	-704.9197495715042	-519.3948824186675	-902.4195976054801	-75.9194667853543	508.70394728253024	-453.09805870473167	356.68575890931425	1047.7368063885674	44.995890476004014	198.24649869356233	0.4329430377152639	742.7260130634818	588.2404295724618	-604.4329424662027	244.74649024153993	-315.76624280235075	-515.9428656405026	Federico
-5990.434104360217	756.7923884078992	217.642499386325	-4273.458988307718	-1656.3135853507042	-524.9173850087775	-3224.11963955468	-1771.0925461542454	-143.0987357912901	-2800.4527355177993	-874.8962595500824	698.9550140239253	453.7872087728488	-990.1252505994098	168.01922646213524	276.8330874216716	-436.96317764973514	1056.1145182207977	574.6105511087337	1349.611134474921	-31.860709997072508	1068.6479514675077	-338.47193409164777	15.068718547874935	1453.8549918303536	-1032.818622253836	578.575024365482	-1373.2592794536395	-272.61864240030417	-1115.9482057831808	628.8589204018328	-334.6843874113627	-954.9556198804308	-604.786736639356	1303.0132858942586	1154.4807213955407	-427.2548920736027	-1319.6330616033154	452.8544012066015	853.2201953583268	-427.3500041638215	-560.2042745139522	-380.69480522104664	-21.52438229664061	709.4978415586941	11.055932938607572	-27.13288948198252	429.0860112730747	529.2526742616918	668.8282338509678	Federico
-2811.826884382365	-615.1341443348734	1026.8759916754077	-2721.3398736893596	-618.0097459885831	-1062.7341742192057	398.5805247978749	-2078.6363144630823	588.0145236502696	-968.1999965729611	-1723.0502733935791	285.36919435261535	94.99542236195877	578.8225960343105	-1402.4755497842104	261.23559382432484	1088.3486245099975	232.73302193504247	-1882.694799194625	-1376.611140069206	-248.46021428174868	-396.5715173674328	515.8139660378779	200.37849504343234	-527.4850376085705	-359.95008001938095	-261.1905611894932	446.57540007947347	-803.3722773878258	137.25034509291783	-422.7664642065222	46.79671368269592	706.4668816790179	1329.641659950054	-1003.0500317025491	633.6776620772553	-33.98781166549657	-378.33348867881296	789.1593948664938	-787.0644336666212	1075.8366283917126	-386.46837915117555	-625.3045293004666	-517.8197194162018	-285.225443238408	-714.3678427196829	-86.0251419747383	596.3759761835959	742.3530793495937	940.4175340941389	Federico
-5512.589262350491	1167.8569848302604	-419.3396222258339	-4116.817951498092	-2125.202530356879	490.4683327839878	-101.8272991481048	-564.2029244626589	-340.2710428222798	-388.8170146466633	-1092.7324315388648	348.40836343313384	-1224.2856950636638	-62.71379603176439	-461.3912297284512	869.3120811763695	433.3451890974772	-712.0471626376477	1696.370602127899	-413.9380273221711	-530.5809948354745	43.85684964140443	-1210.832309322347	-131.60294860330816	-883.4281610315804	1948.2254454773579	287.37030357835346	1177.9260992667976	893.7318905471709	92.1240615384191	266.2916094294159	918.4751922339715	192.81293016137178	-495.18897921217246	226.68368649423329	721.3033850044425	395.7516787515557	921.1576127709847	-1646.3897825055137	-152.43787277012487	-626.9331540296027	-468.4142521084022	-745.5549158059099	-88.67209523062488	-169.41436217254306	237.57922652400785	-400.19511832629365	-801.8737392822576	314.92741903015775	9.653470166653335	Federico
-7988.93509127077	-212.6214471635096	-2938.8055587387485	3477.7951385271826	-3388.553210530113	-2072.211616477248	784.3610998458468	-23.325183358310362	-1310.676619944019	-2020.554142653785	-290.0079696131502	-387.0023215033594	-296.18201209498756	-108.94737744244489	1760.6818091521409	-442.4603545665636	-744.9360749574446	-1288.4108952243673	427.74695012848	-1214.777766288848	-541.7997806334752	-1277.5445368675453	-621.1908119548448	2841.2010596787236	-1386.4122582732184	-147.00076169654147	1745.2708995740675	-272.61989475308934	1651.9654721861568	-265.2206461192912	-1236.2848147725483	-516.1284769374213	-1343.7972425759544	546.251772455447	1506.2182355254727	-936.8579787727314	-915.039156387554	269.2347749620202	695.2493636219109	-830.7420517003767	-787.5449500507351	-221.3898243143135	-1474.9222320479385	393.9866810343729	447.3834411623351	188.6094311381461	-2.2772012152329033	-1657.3345688545546	-187.94002270069177	-78.16196133493793	Federico
-5690.178555313942	575.3348627917998	20.164864123572887	-4718.581540753491	-1632.0617793473884	-1221.7959481060745	-2928.303298652982	-1719.814362595829	-613.1315540350465	-3007.413750638804	-1174.4935407847256	380.94762848905316	301.2507947385803	-1011.3224895945184	154.0182953388302	396.33473947322756	-649.7237228114421	880.5702508587593	706.55384258701	1029.4607900671708	-154.0689534108861	846.317992202412	-492.63842952151214	-71.1644922229763	1115.5145793175802	-802.2418736036368	399.466526202591	-1553.863667201681	-371.4175357552039	-889.4263711349017	681.5103913546695	-777.1149217550721	-1132.8765009860042	-340.7115524632743	1329.5109105192987	759.5298522487068	-639.1797088002915	-1324.2910997557615	373.91766116085324	846.1520218939696	-301.2242956939232	-335.54532876748567	-159.68373261542902	127.69489896917693	351.94174829624194	-354.65976139303126	209.28210752254108	760.4992739786122	157.7818062192012	518.2480459595076	Federico
-7176.013790973032	705.1291158456257	114.72177157926485	-3105.068967492381	-2369.0150563130474	411.19308979046787	-1943.1501451402485	-3167.6737769848637	1121.1278763765924	-889.4850825949615	-1526.4727391553947	589.1242723460398	1053.144837162271	116.87587039136987	-394.8897327223906	-420.0558251233989	-336.3033134595248	737.0962663651308	-409.59150335017705	-346.8251008693011	-1493.96664418607	184.46961004394203	1127.8570972756486	297.933614050843	1092.5600239963542	-619.745600128735	501.699560623014	-142.96573647564853	-1292.2378999341206	-223.74693855881213	-594.955367666984	-548.9815107925233	-144.3362984486575	561.8474794397423	-1304.1385435091906	-701.6342857696586	-456.9564687033642	878.8877625091176	-241.69235591929422	-506.10943299138717	729.2412241234003	429.27988008958107	53.78896117985963	-404.4463752512784	-71.93039998832661	419.21034883242817	-409.1992454962168	150.62632465868342	234.88775541527826	-343.9471803046761	Federico
-4704.157765823572	787.8484583988104	153.95872087361482	-4463.988044224107	-1397.457193443753	109.61061500976925	252.37338372263622	-1480.7816825233876	-415.8678856658482	-1526.4487337279518	-1741.5682880002605	-596.6236243461994	-1644.3565561100459	39.674355302660985	-1786.9734182022364	569.1931614083419	561.2653664037624	-357.5403568076049	471.31707368600144	-468.5508880781706	-626.3603556101593	325.890439794862	-826.2717475827519	-789.9538644736156	-1059.4752891476155	118.35924307705771	34.85733597578544	968.5859463755182	1034.7018550681894	277.7495289245004	-547.6284565098767	-628.3194194874122	815.2420956224992	-513.1212814933605	-420.9336949743538	526.8209953100106	-431.9859753288536	769.0478426239866	-510.8665478042947	-524.5288812793343	587.3734360550087	164.95578567066113	12.497069292641628	73.59017189228184	-518.9199514879128	188.15472201543696	792.6303948476184	129.10090491845656	-592.8049357607341	-196.18912107716366	Federico
